part_number,model,light_type,buzzer,voltage,color,mount,ip,db,ma,weight,size,pdf_page,description,source_url,source_page,source_title,category_name,row_no,data_model,data_voltage,data_color,data_ip,data_pl_id,search_text,validation_status
CPK-CAN-12/24,CPK-CAN,Speaker,-,DC12V-24V,-,Panel,IP65,90dB,600,0.21,80x80,156,Loa panel CPK-CAN,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1291,CPK-CAN,DC12V-24V,,IP65,51,"cpk-can-12/24 cpk-can 51 speaker 12/24 dc12v-24v panel 600 0.21 80x80 ip65 90db 156 pdf loa panel cpk-can cpk cpk-can,cpk-io,cpk-rs485 electronic sounders panel speaker comm",imported_from_live_site
CPK-IO-12/24,CPK-IO,Speaker,-,DC12V-24V,-,Panel,IP65,90dB,600,0.21,80x80,157,Loa panel CPK-IO,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1292,CPK-IO,DC12V-24V,,IP65,51,"cpk-io-12/24 cpk-io 51 speaker 12/24 dc12v-24v panel 600 0.21 80x80 ip65 90db 157 pdf loa panel cpk-io cpk cpk-can,cpk-io,cpk-rs485 electronic sounders panel speaker comm",imported_from_live_site
CPK-RS485-12/24,CPK-RS485,Speaker,-,DC12V-24V,-,Panel,IP65,90dB,600,0.21,80x80,158,Loa panel CPK-RS485,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",1293,CPK-RS485,DC12V-24V,,IP65,51,"cpk-rs485-12/24 cpk-rs485 51 speaker 12/24 dc12v-24v panel 600 0.21 80x80 ip65 90db 158 pdf loa panel cpk-rs485 cpk cpk-can,cpk-io,cpk-rs485 electronic sounders panel speaker comm",imported_from_live_site
EQ100-220-A,EQ100,LED Simulated Rev,-,AC220V,Amber,-,IP44,-,160,0.3,Ø100,84,Đèn mô phỏng xoay EQ100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",935,EQ100,AC220V,Amber,IP44,25,"eq100-220-a eq100 25 led simulated rev 220 ac220v a amber 160 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100 eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-220-B,EQ100,LED Simulated Rev,-,AC220V,Blue,-,IP44,-,160,0.3,Ø100,84,Đèn mô phỏng xoay EQ100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",936,EQ100,AC220V,Blue,IP44,25,"eq100-220-b eq100 25 led simulated rev 220 ac220v b blue 160 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100 eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-220-G,EQ100,LED Simulated Rev,-,AC220V,Green,-,IP44,-,160,0.3,Ø100,84,Đèn mô phỏng xoay EQ100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",934,EQ100,AC220V,Green,IP44,25,"eq100-220-g eq100 25 led simulated rev 220 ac220v g green 160 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100 eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-220-R,EQ100,LED Simulated Rev,-,AC220V,Red,-,IP44,-,160,0.3,Ø100,84,Đèn mô phỏng xoay EQ100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",933,EQ100,AC220V,Red,IP44,25,"eq100-220-r eq100 25 led simulated rev 220 ac220v r red 160 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100 eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-24-A,EQ100,LED Simulated Rev,-,DC24V,Amber,-,IP44,-,95,0.3,Ø100,84,Đèn mô phỏng xoay EQ100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",931,EQ100,DC24V,Amber,IP44,25,"eq100-24-a eq100 25 led simulated rev 24 dc24v a amber 95 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100 eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-24-B,EQ100,LED Simulated Rev,-,DC24V,Blue,-,IP44,-,95,0.3,Ø100,84,Đèn mô phỏng xoay EQ100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",932,EQ100,DC24V,Blue,IP44,25,"eq100-24-b eq100 25 led simulated rev 24 dc24v b blue 95 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100 eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-24-G,EQ100,LED Simulated Rev,-,DC24V,Green,-,IP44,-,95,0.3,Ø100,84,Đèn mô phỏng xoay EQ100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",930,EQ100,DC24V,Green,IP44,25,"eq100-24-g eq100 25 led simulated rev 24 dc24v g green 95 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100 eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-24-R,EQ100,LED Simulated Rev,-,DC24V,Red,-,IP44,-,95,0.3,Ø100,84,Đèn mô phỏng xoay EQ100,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",929,EQ100,DC24V,Red,IP44,25,"eq100-24-r eq100 25 led simulated rev 24 dc24v r red 95 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100 eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
EQ100-BZ-220-A,EQ100-BZ,LED Simulated Rev,-,AC220V,Amber,-,IP44,-,160,0.3,Ø100,84,Đèn mô phỏng xoay EQ100-BZ,https://qlight.vn/san-pham/den-canh-bao/,san-pham-den-canh-bao,Catalog đèn cảnh báo Qlight | Sounder & Beacon Qlight Vietnam,"Catalog đèn cảnh báo, còi báo và beacon Qlight",943,EQ100-BZ,AC220V,Amber,IP44,25,"eq100-bz-220-a eq100-bz 25 led simulated rev 220 ac220v a amber 160 0.3 ø100 ip44 84 pdf đèn mô phỏng xoay eq100-bz eq100 eq100,eq100-bz signal beacons simulated revolving",imported_from_live_site
